Date,LST_Celsius,ZoneID,ZoneName
09/05/2005,30.66,Z01,Colombo North
17/05/2005,32.12,Z01,Colombo North
25/05/2005,29.76,Z01,Colombo North
02/06/2005,31.23,Z01,Colombo North
18/06/2005,29.16,Z01,Colombo North
26/06/2005,29.02,Z01,Colombo North
04/07/2005,30.31,Z01,Colombo North
12/07/2005,28.06,Z01,Colombo North
20/07/2005,31.61,Z01,Colombo North
28/07/2005,31.27,Z01,Colombo North
05/08/2005,31.49,Z01,Colombo North
13/08/2005,31.68,Z01,Colombo North
21/08/2005,33.24,Z01,Colombo North
14/09/2005,32.17,Z01,Colombo North
22/09/2005,32.55,Z01,Colombo North
30/09/2005,31.95,Z01,Colombo North
08/10/2005,31.27,Z01,Colombo North
16/10/2005,31.85,Z01,Colombo North
24/10/2005,29.16,Z01,Colombo North
17/11/2005,29.68,Z01,Colombo North
25/11/2005,29.29,Z01,Colombo North
03/12/2005,29.22,Z01,Colombo North
11/12/2005,30.99,Z01,Colombo North
19/12/2005,29.4,Z01,Colombo North
27/12/2005,30.72,Z01,Colombo North
01/01/2006,30.74,Z01,Colombo North
09/01/2006,28.77,Z01,Colombo North
17/01/2006,29.97,Z01,Colombo North
25/01/2006,30.77,Z01,Colombo North
02/02/2006,30.64,Z01,Colombo North
10/02/2006,31.23,Z01,Colombo North
18/02/2006,33.09,Z01,Colombo North
26/02/2006,33.06,Z01,Colombo North
06/03/2006,31.92,Z01,Colombo North
14/03/2006,34.78,Z01,Colombo North
22/03/2006,32.2,Z01,Colombo North
30/03/2006,34.56,Z01,Colombo North
07/04/2006,33.03,Z01,Colombo North
15/04/2006,32.55,Z01,Colombo North
23/04/2006,31.64,Z01,Colombo North
01/05/2006,32.36,Z01,Colombo North
09/05/2006,33.34,Z01,Colombo North
17/05/2006,33.8,Z01,Colombo North
25/05/2006,28.88,Z01,Colombo North
02/06/2006,33.1,Z01,Colombo North
10/06/2006,30.88,Z01,Colombo North
18/06/2006,33.82,Z01,Colombo North
26/06/2006,31.56,Z01,Colombo North
04/07/2006,31.56,Z01,Colombo North
20/07/2006,32.23,Z01,Colombo North
28/07/2006,32.26,Z01,Colombo North
05/08/2006,32.96,Z01,Colombo North
13/08/2006,27.8,Z01,Colombo North
21/08/2006,30.9,Z01,Colombo North
29/08/2006,32.26,Z01,Colombo North
14/09/2006,28.95,Z01,Colombo North
22/09/2006,32.51,Z01,Colombo North
30/09/2006,31.68,Z01,Colombo North
08/10/2006,29.88,Z01,Colombo North
16/10/2006,31.28,Z01,Colombo North
24/10/2006,31.43,Z01,Colombo North
01/11/2006,32.57,Z01,Colombo North
09/11/2006,32.5,Z01,Colombo North
